TccvID,Timestamp,Circuit Name,Milk Tank 1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:31:39.678Z,1,44.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:31:39.678Z,2,44.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:32:39.720Z,2,44.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:32:39.720Z,1,44.9
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:33:39.781Z,1,45.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:33:39.781Z,2,45.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:34:39.877Z,2,45.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:34:39.877Z,1,45.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:35:39.861Z,1,45.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:35:39.861Z,2,45.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:36:39.876Z,1,45.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:36:39.876Z,2,45.5
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:37:39.914Z,1,54.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:37:39.914Z,2,54.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:38:39.957Z,2,65
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:38:39.957Z,1,65
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:39:39.999Z,2,69.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:39:39.999Z,1,69.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:40:40.015Z,2,69.1
